Rank,Team,2020,Last 3,Last 1,Home,Away,2019
2,New Orleans,74.3,36.3,52.0,72.2,77.5,93.9
4,Seattle,91.2,65.7,57.0,87.6,94.8,117.3
5,LA Rams,91.3,70.0,42.0,108.5,79.8,113.1
21,New England,121.8,78.3,55.0,132.0,111.6,101.7
11,NY Jets,111.7,79.3,29.0,142.2,81.2,86.9
1,Tampa Bay,73.0,80.0,37.0,80.4,66.8,73.8
6,NY Giants,100.9,91.3,156.0,111.4,90.4,113.2
17,Carolina,116.8,95.3,40.0,117.7,115.8,143.5
26,Kansas City,133.5,95.3,89.0,128.8,138.2,124.8
31,Dallas,153.8,96.7,125.0,163.2,144.4,103.5
24,Jacksonville,129.1,97.7,106.0,123.8,134.4,139.3
12,Las Vegas,112.2,100.7,108.0,86.8,137.6,98.1
13,Green Bay,113.7,101.3,140.0,112.2,114.7,128.7
14,Chicago,115.1,104.3,99.0,101.0,129.2,102.0
20,Tennessee,121.5,106.0,129.0,105.8,145.0,108.8
10,San Francisco,107.0,108.7,114.0,118.2,95.8,106.0
23,Arizona,124.7,109.7,165.0,114.2,135.2,120.1
3,Indianapolis,89.2,111.0,66.0,92.6,85.8,97.9
18,Washington,120.4,113.7,70.0,108.2,138.8,146.2
22,Minnesota,122.1,116.7,180.0,140.0,104.2,111.7
19,Denver,121.5,117.0,56.0,113.0,130.0,111.4
7,Pittsburgh,103.4,118.7,73.0,88.2,118.6,109.6
15,LA Chargers,115.3,122.3,96.0,120.4,110.2,112.8
8,Cleveland,105.0,135.0,106.0,107.3,101.5,144.7
9,Atlanta,106.5,139.3,168.0,101.0,112.0,110.9
25,Philadelphia,133.4,140.3,137.0,142.8,124.0,88.6
29,Cincinnati,136.2,142.0,164.0,136.0,136.3,148.9
32,Houston,159.3,144.0,86.0,129.8,188.8,123.7
16,Baltimore,116.0,152.7,173.0,112.2,119.8,100.6
28,Buffalo,135.0,154.0,217.0,141.8,128.2,105.3
27,Miami,134.2,155.3,189.0,111.0,157.4,135.4
30,Detroit,139.0,160.0,116.0,130.2,144.8,115.9
