Round Number,Date,Location,Home Team,Away Team,Result
1,13/09/2020 10:00,Gillette Stadium,New England Patriots,Miami Dolphins,21 - 11
2,20/09/2020 17:20,CenturyLink Field,Seattle Seahawks,New England Patriots,35 - 30
3,27/09/2020 10:00,Gillette Stadium,New England Patriots,Las Vegas Raiders,36 - 20
4,04/10/2020 13:25,Arrowhead Stadium,Kansas City Chiefs,New England Patriots,
5,11/10/2020 10:00,Gillette Stadium,New England Patriots,Denver Broncos,
7,25/10/2020 13:25,Gillette Stadium,New England Patriots,San Francisco 49ers,
8,01/11/2020 10:00,New Era Field,Buffalo Bills,New England Patriots,
9,09/11/2020 17:15,MetLife Stadium,New York Jets,New England Patriots,
10,15/11/2020 17:20,Gillette Stadium,New England Patriots,Baltimore Ravens,
11,22/11/2020 10:00,NRG Stadium,Houston Texans,New England Patriots,
12,29/11/2020 10:00,Gillette Stadium,New England Patriots,Arizona Cardinals,
13,06/12/2020 13:25,SoFi Stadium,Los Angeles Chargers,New England Patriots,
14,10/12/2020 17:20,SoFi Stadium,Los Angeles Rams,New England Patriots,
15,20/12/2020 10:00,Hard Rock Stadium,Miami Dolphins,New England Patriots,
16,28/12/2020 17:15,Gillette Stadium,New England Patriots,Buffalo Bills,
17,03/01/2021 10:00,Gillette Stadium,New England Patriots,New York Jets,
